Name,Year,Parental Rating,Community Rating
The Little Mermaid II: Return to the Sea,2000,G,6.411
Fantasia 2000,2000,G,6.967
Winnie the Pooh: Seasons of Giving,1999,G,6.759
Mickey's Once Upon a Christmas,1999,G,7.1
Toy Story 2,1999,CA-G,7.597
Fight Club,1999,CA-18A,8.4
The Sixth Sense,1999,PG-13,7.952
Muppets from Space,1999,G,6
Tarzan,1999,G,7.4
Star Wars: Episode I - The Phantom Menace,1999,CA-PG,6.556
The Matrix,1999,CA-14A,8.218
Office Space,1999,R,7.372
The Prince of Egypt,1998,PG,7.282
Rushmore,1998,R,7.402
A Bug's Life,1998,G,6.973
The Lion King II: Simba's Pride,1998,G,6.948
Pocahontas II: Journey to a New World,1998,G,5.5
Saving Private Ryan,1998,CA-18A,8.2
American History X,1998,R,8.337
Mulan,1998,G,7.9
The Truman Show,1998,CA-PG,8.146
FernGully 2: The Magical Rescue,1998,G,5.7
Belle's Magical World,1998,G,6.2
Jackie Brown,1997,R,7.358
Titanic,1997,CA-18A,7.905
Alien Resurrection,1997,R,6.155
Beauty and the Beast: The Enchanted Christmas,1997,G,6.227
Pooh's Grand Adventure: The Search for Christopher Robin,1997,G,7.162
Men in Black,1997,CA-PG,7.202
Speed 2: Cruise Control,1997,CA-PG,4.599
Hercules,1997,CA-G,7.497
The Lost World: Jurassic Park,1997,PG-13,6.54
Scream,1996,R,7.4
Space Jam,1996,PG,6.814
Independence Day,1996,CA-PG,6.894
The Hunchback of Notre Dame,1996,G,7.111
Mission: Impossible,1996,CA-PG,6.989
Aladdin and the King of Thieves,1996,G,6.3
James and the Giant Peach,1996,PG,6.572
Fargo,1996,CA-18A,7.9
Trainspotting,1996,CA-18A,8
Bottle Rocket,1996,R,6.7
Muppet Treasure Island,1996,G,6.6
Jumanji,1995,CA-PG,7.236
Toy Story,1995,CA-G,8
Pocahontas,1995,,7.5
Se7en,1995,CA-18A,8.375
Die Hard: With a Vengeance,1995,CA-14A,7.271
A Goofy Movie,1995,G,6.994
Muriel's Wedding,1994,CA-R,6.8
Pulp Fiction,1994,CA-18A,8.49
The Lion King,1994,G,8.257
Forrest Gump,1994,CA-18A,8.468
Speed,1994,CA-A,7.141
Naked Gun 33⅓: The Final Insult,1994,PG-13,6.474
Schindler's List,1993,R,8.567
The Nightmare Before Christmas,1993,PG,7.837
The Fugitive,1993,PG-13,7.464
Jurassic Park,1993,PG-13,7.952
Groundhog Day,1993,PG,7.611
Aladdin,1992,G,7.652
Home Alone 2: Lost in New York,1992,PG,6.746
Reservoir Dogs,1992,CA-18A,8.1
Alien³,1992,R,6.377
FernGully: The Last Rainforest,1992,G,6.355
Beauty and the Beast,1991,G,7.7
Barton Fink,1991,R,7.462
Terminator 2: Judgment Day,1991,CA-R,8.1
The Naked Gun 2½: The Smell of Fear,1991,PG-13,6.788
The Godfather Part III,1990,CA-R,7.418
Predator 2,1990,R,6.3
The Rescuers Down Under,1990,G,6.638
Home Alone,1990,CA-G,7.437
Miller's Crossing,1990,CA-14A,7.453
DuckTales: The Movie - Treasure of the Lost Lamp,1990,G,6.714
Die Hard 2,1990,CA-18A,6.954
Back to the Future Part III,1990,CA-18A,7.481
Back to the Future Part II,1989,CA-PG,7.764
The Little Mermaid,1989,CA-G,7.35
Ghostbusters II,1989,PG,6.6
Indiana Jones and the Last Crusade,1989,PG-13,7.853
Rain Man,1988,R,7.8
The Naked Gun: From the Files of Police Squad!,1988,PG-13,7.252
Oliver & Company,1988,G,6.719
They Live,1988,CA-14A,7.3
Die Hard,1988,CA-18A,7.793
Who Framed Roger Rabbit,1988,PG,7.527
Grave of the Fireflies,1988,PG-13,8.457
Beetlejuice,1988,PG,7.378
The Princess Bride,1987,CA-PG,7.7
RoboCop,1987,R,7.334
Predator,1987,R,7.5
Raising Arizona,1987,PG-13,7.049
Aliens,1986,CA-14A,7.9
The Great Mouse Detective,1986,G,7.044
Top Gun,1986,CA-PG,7.1
The Black Cauldron,1985,PG,6.417
Back to the Future,1985,PG,8.317
The Goonies,1985,PG,7.514
The Terminator,1984,R,7.7
The Muppets Take Manhattan,1984,G,6.552
Gremlins,1984,PG,7.121
Ghostbusters,1984,PG,7.488
Indiana Jones and the Temple of Doom,1984,PG,7.3
Blood Simple,1984,R,7.246
Return of the Jedi,1983,PG,7.898
The King of Comedy,1982,PG,7.8
A Disney Christmas Gift,1982,G,6.8
Tron,1982,PG,6.64
The Thing,1982,R,8.1
Blade Runner,1982,R,7.9
E.T. the Extra-Terrestrial,1982,CA-14A,7.516
Poltergeist,1982,PG,7.146
The Fox and the Hound,1981,G,7.137
The Great Muppet Caper,1981,G,6.8
Raiders of the Lost Ark,1981,PG,7.9
Raging Bull,1980,R,7.9
The Shining,1980,CA-R,8.2
The Empire Strikes Back,1980,CA-PG,8.4
The Muppet Movie,1979,G,7.2
Alien,1979,CA-18A,8.158
Apocalypse Now,1979,CA-18A,8.3
Close Encounters of the Third Kind,1977,CA-PG,7.357
Pete's Dragon,1977,G,6.3
The Rescuers,1977,G,6.779
Star Wars,1977,CA-PG,8.204
The Many Adventures of Winnie the Pooh,1977,G,7.246
Taxi Driver,1976,R,8.1
Hester Street,1975,PG,6.2
Jaws,1975,CA-14A,7.664
The Godfather Part II,1974,R,8.6
Herbie Rides Again,1974,G,6.1
Robin Hood,1973,G,7.3
The Godfather,1972,CA-R,8.69
A Clockwork Orange,1971,CA-R,8.187
Bedknobs and Broomsticks,1971,G,7
The Million Dollar Duck,1971,G,5.7
The Aristocats,1970,CA-G,7.3
Frosty the Snowman,1969,G,6.9
The Love Bug,1968,G,6.5
2001: A Space Odyssey,1968,CA-PG,8.065
The Jungle Book,1967,G,7.278
That Darn Cat!,1965,G,6.6
Mary Poppins,1964,G,7.562
Rudolph the Red-Nosed Reindeer,1964,G,7.377
Goldfinger,1964,CA-PG,7.348
The Sword in the Stone,1963,G,7.232
One Hundred and One Dalmatians,1961,G,7.173
Swiss Family Robinson,1960,G,6.873
Darby O'Gill and the Little People,1959,G,6.7
Sleeping Beauty,1959,G,6.9
Old Yeller,1957,NR,6.873
12 Angry Men,1957,CA-PG,8.5
1984,1956,NR,6.5
Lady and the Tramp,1955,G,7.119
"20,000 Leagues Under the Sea",1954,G,7
Peter Pan,1953,G,7.202
Alice in Wonderland,1951,G,7.195
Cinderella,1950,G,7.043
The Adventures of Ichabod and Mr. Toad,1949,NR,6.5
Melody Time,1948,NR,6.152
Fun and Fancy Free,1947,G,6.3
Song of the South,1946,G,6.433
Make Mine Music,1946,G,5.9
The Three Caballeros,1944,G,6.295
Victory Through Air Power,1943,PG,5.7
Saludos Amigos,1942,NR,5.8
Bambi,1942,G,7.009
Dumbo,1941,G,6.998
The Reluctant Dragon,1941,G,6.6
Citizen Kane,1941,CA-14A,8
Fantasia,1940,CA-PG,7.4
Pinocchio,1940,G,7.102
The Wizard of Oz,1939,G,7.6
Snow White and the Seven Dwarfs,1938,G,7.122
